nama,kategori,harga,deskripsi,tag,icon,foto,aktif
Rubytech Kapsul 30W,lampu,Rp35.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 9 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/rubytech-kapsul-30-40w.webp,ya
Rubytech Kapsul 40W,lampu,Rp45.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 4 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok terbatas,💡,/assets/rubytech-kapsul-30-40w.webp,ya
Fiolite Kapsul 60W,lampu,Rp75.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 40 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/fiolite-kapsul-60w.webp,ya
Rubytech Ungu 3W,lampu,Rp10.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 40 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/rubytech-ungu-series.webp,ya
Rubytech Ungu 5W,lampu,Rp12.500,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 40 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/rubytech-ungu-series.webp,ya
Rubytech Merah 5W,lampu,Rp19.500,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 40 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/rubytech-merah-series.webp,ya
Rubytech Merah 7W,lampu,Rp24.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 39 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/rubytech-merah-series.webp,ya
Rubytech Merah 9W,lampu,Rp27.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 36 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/rubytech-merah-series.webp,ya
Rubytech Merah 12W,lampu,Rp33.500,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 20 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/rubytech-merah-series.webp,ya
Rubytech Merah 15W,lampu,Rp40.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 4 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok terbatas,💡,/assets/rubytech-merah-series.webp,ya
Rubytech Merah 18W,lampu,Rp48.500,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 0 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok habis,💡,/assets/rubytech-merah-series.webp,ya
Rubytech Merah 24W,lampu,Rp69.500,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 8 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/rubytech-merah-series.webp,ya
Dop Ayam Kuning,aksesoris,Rp2.750,"Fitting dan perlengkapan lampu untuk instalasi harian. Stok kasir: 45 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🪛,/assets/dop-ayam-merah.webp,ya
SC Gepeng 2lb,instalasi,Rp7.500,"Aksesoris instalasi listrik untuk kebutuhan rumah dan toko. Stok kasir: 0 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok habis,🔌,/assets/sc-gepeng-series.webp,ya
SC Gepeng 3lb,instalasi,Rp9.500,"Aksesoris instalasi listrik untuk kebutuhan rumah dan toko. Stok kasir: 71 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/sc-gepeng-series.webp,ya
SC Gepeng 4lb,instalasi,Rp13.000,"Aksesoris instalasi listrik untuk kebutuhan rumah dan toko. Stok kasir: 79 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/sc-gepeng-series.webp,ya
SC Arde 1lb,instalasi,Rp10.000,"Aksesoris instalasi listrik untuk kebutuhan rumah dan toko. Stok kasir: 16 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/sc-arde-series.webp,ya
SC Arde 2lb,instalasi,Rp12.000,"Aksesoris instalasi listrik untuk kebutuhan rumah dan toko. Stok kasir: 5 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok terbatas,🔌,/assets/sc-arde-series.webp,ya
SC Arde 3lb,instalasi,Rp14.500,"Aksesoris instalasi listrik untuk kebutuhan rumah dan toko. Stok kasir: 0 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok habis,🔌,/assets/sc-arde-series.webp,ya
SC Arde 4lb,instalasi,Rp19.500,"Aksesoris instalasi listrik untuk kebutuhan rumah dan toko. Stok kasir: 9 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/sc-arde-series.webp,ya
FT Colok,aksesoris,Rp4.500,"Fitting dan perlengkapan lampu untuk instalasi harian. Stok kasir: 12 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🪛,/assets/fitting-colok-visalux.webp,ya
FT GTG Broco,aksesoris,Rp4.250,"Fitting dan perlengkapan lampu untuk instalasi harian. Stok kasir: 31 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🪛,/assets/ft-gtg-broco.webp,ya
FT GTG Biasa,aksesoris,Rp2.500,"Fitting dan perlengkapan lampu untuk instalasi harian. Stok kasir: 0 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok habis,🪛,,ya
Steker GPG Loyal,instalasi,Rp4.000,"Aksesoris instalasi listrik untuk kebutuhan rumah dan toko. Stok kasir: 90 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/steker-gpg-loyal.webp,ya
Steker GPG Biasa,instalasi,Rp2.500,"Aksesoris instalasi listrik untuk kebutuhan rumah dan toko. Stok kasir: 0 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok habis,🔌,,ya
Steker Arde Biasa,instalasi,Rp4.500,"Aksesoris instalasi listrik untuk kebutuhan rumah dan toko. Stok kasir: 0 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok habis,🔌,/assets/steker-arde-biasa.webp,ya
Skakel GTG,instalasi,Rp3.500,"Aksesoris instalasi listrik untuk kebutuhan rumah dan toko. Stok kasir: 48 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/skakel-gantung.webp,ya
Raket Nyamuk Aoki 879,elektronik,Rp45.000,"Raket nyamuk elektrik untuk rumah, warung, dan kamar. Stok kasir: 12 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🦟,/assets/raket-nyamuk-aoki-879.webp,ya
Raket Nyamuk Aoki 889,elektronik,Rp52.500,"Raket nyamuk elektrik untuk rumah, warung, dan kamar. Stok kasir: 12 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🦟,/assets/raket-nyamuk-aoki-889.webp,ya
Reg Destec Puls Meter,gas,Rp110.000,"Regulator dan perlengkapan gas untuk kebutuhan rumah. Stok kasir: 3 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok terbatas,🔥,,ya
Reg Starcamp Tanpa Meter,gas,Rp95.000,"Regulator dan perlengkapan gas untuk kebutuhan rumah. Stok kasir: 0 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok habis,🔥,,ya
Reg Starcamp Puls Meter,gas,Rp115.000,"Regulator dan perlengkapan gas untuk kebutuhan rumah. Stok kasir: 0 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok habis,🔥,,ya
Reg Wingas Putar,gas,Rp80.000,"Regulator dan perlengkapan gas untuk kebutuhan rumah. Stok kasir: 1 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok terbatas,🔥,,ya
Reg Wingas Biasa,gas,Rp57.500,"Regulator dan perlengkapan gas untuk kebutuhan rumah. Stok kasir: 3 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok terbatas,🔥,,ya
Selang Gas,gas,Rp35.000,"Regulator dan perlengkapan gas untuk kebutuhan rumah. Stok kasir: 7 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔥,,ya
Reg+selang,gas,"Rp82,500","Regulator dan perlengkapan gas untuk kebutuhan rumah. Stok kasir: 0 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok habis,🔥,,ya
Led PH 3W,lampu,Rp29.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 0 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok habis,💡,/assets/led-ph-mycare-series.webp,ya
Led PH 4W,lampu,Rp39.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 0 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok habis,💡,/assets/led-ph-mycare-series.webp,ya
Led PH 6W,lampu,Rp44.800,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 18 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/led-ph-mycare-series.webp,ya
Led PH 8W,lampu,Rp51.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 11 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/led-ph-mycare-series.webp,ya
Led PH 10W,lampu,Rp57.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 1 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok terbatas,💡,/assets/led-ph-mycare-series.webp,ya
Led PH 12W,lampu,Rp69.500,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 3 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok terbatas,💡,/assets/led-ph-mycare-series.webp,ya
Led PH 14.5W,lampu,Rp79.500,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 1 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok terbatas,💡,/assets/led-ph-mycare-series.webp,ya
Led PH 19W,lampu,Rp110.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 9 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/led-ph-mycare-series.webp,ya
Tmulti Biasa,instalasi,Rp5.500,"Aksesoris instalasi listrik untuk kebutuhan rumah dan toko. Stok kasir: 24 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/tmulti-biasa.webp,ya
Stop Kontak Arde 2Lb 3M,instalasi,"Rp25,500","Stop kontak arde 2 lubang kabel 3 meter. Stok kasir: 0 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok habis,🔌,/assets/stop-kontak-arde-3m.webp,ya
Stop Kontak Arde 3Lb 3M,instalasi,"Rp27,500","Stop kontak arde 3 lubang kabel 3 meter. Stok kasir: 9 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/stop-kontak-arde-3m.webp,ya
Stop Kontak Arde 4Lb 3M,instalasi,"Rp30,000","Stop kontak arde 4 lubang kabel 3 meter. Stok kasir: 12 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/stop-kontak-arde-3m.webp,ya
Stop Kontak Arde 5Lb 3M,instalasi,"Rp32,500","Stop kontak arde 5 lubang kabel 3 meter. Stok kasir: 12 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/stop-kontak-arde-3m.webp,ya
Stop Kontak Arde 2Lb 5M,instalasi,"Rp29,500","Stop kontak arde 2 lubang kabel 5 meter. Stok kasir: 0 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok habis,🔌,/assets/stop-kontak-arde-5m.webp,ya
Stop Kontak Arde 3Lb 5M,instalasi,"Rp31,500","Stop kontak arde 3 lubang kabel 5 meter. Stok kasir: 12 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/stop-kontak-arde-5m.webp,ya
Stop Kontak Arde 4Lb 5M,instalasi,"Rp33,500","Stop kontak arde 4 lubang kabel 5 meter. Stok kasir: 12 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/stop-kontak-arde-5m.webp,ya
Stop Kontak Arde 5Lb 5M,instalasi,"Rp36,000","Stop kontak arde 5 lubang kabel 5 meter. Stok kasir: 12 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/stop-kontak-arde-5m.webp,ya
Raket Nyamuk ILKIL 305,elektronik,Rp60.000,"Raket nyamuk ILKIL 305, 3 lapis jaring, baterai rechargeable. Stok kasir: 9 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/raket-nyamuk-ilki-305.webp,ya
Kapsul Obaja Biru 5W,lampu,Rp4.000,"Lampu LED Obaja Classic 5W cool daylight, hemat energi 80%. Stok kasir: 90 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/obaja-kapsul-biru-series.webp,ya
Kapsul Obaja Biru 10W,lampu,Rp5.500,"Lampu LED Obaja Classic 10W cool daylight, hemat energi 80%. Stok kasir: 40 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/obaja-kapsul-biru-series.webp,ya
Kapsul Obaja Biru 15W,lampu,Rp8.000,"Lampu LED Obaja Classic 15W cool daylight, hemat energi 80%. Stok kasir: 100 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/obaja-kapsul-biru-series.webp,ya
Kapsul Obaja Biru 20W,lampu,Rp11.000,"Lampu LED Obaja Classic 20W cool daylight, hemat energi 80%. Stok kasir: 60 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/obaja-kapsul-biru-series.webp,ya
T Serbaguna Loyal,instalasi,Rp15.000,"Kontak kotak stecker T serbaguna 3 lubang, terminal kuningan. Stok kasir: 24 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/t-serbaguna-loyal.webp,ya
Fit Colok + Skakel Dutron,instalasi,Rp4.500,"Fitting colok switch Dutron DV-FCS-01. Stok kasir: 24 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,🔌,/assets/fit-colok-dutron.webp,ya
